================================================================================
📊 GYROSTARS - TOZALANGAN VA HAQIQIY BALANSLAR HISOBOTI
🕒 Sana va vaqt: 2026-08-21 18:44:29
👥 Jami foydalanuvchilar: 308 ta
💰 Balansga ega foydalanuvchilar: 1 ta
💳 Jami foydalanuvchilar balansi: 32 000 so'm
================================================================================

--- 🌟 BALANSGA EGA FOYDALANUVCHILAR ---
№     | Telegram ID      | Balans                 | Izoh                          
--------------------------------------------------------------------------------
1     | 8856364002       | 32 000 so'm            | 202k - 170k (Premium olingan) 

--- ⚪ 0 SO'M BALANSLI FOYDALANUVCHILAR ---
№     | Telegram ID      | Balans                 | Holat               
--------------------------------------------------------------------------------
218   | 7485541730       | 0 so'm                 | Tozalangan          
219   | 7487252194       | 0 so'm                 | Tozalangan          
220   | 7487375965       | 0 so'm                 | Tozalangan          
221   | 7491283304       | 0 so'm                 | Tozalangan          
222   | 7491704343       | 0 so'm                 | Tozalangan          
223   | 7496231722       | 0 so'm                 | Tozalangan          
224   | 7503797221       | 0 so'm                 | Tozalangan          
225   | 7527758672       | 0 so'm                 | Tozalangan          
226   | 7565677806       | 0 so'm                 | Tozalangan          
227   | 7583227245       | 0 so'm                 | Tozalangan          
228   | 7588752484       | 0 so'm                 | Tozalangan          
229   | 7610857289       | 0 so'm                 | Tozalangan          
230   | 7665034380       | 0 so'm                 | Tozalangan          
231   | 7688502175       | 0 so'm                 | Tozalangan          
232   | 7702114501       | 0 so'm                 | Tozalangan          
233   | 7715101183       | 0 so'm                 | Tozalangan          
234   | 7721139669       | 0 so'm                 | Tozalangan          
235   | 7722462477       | 0 so'm                 | Tozalangan          
236   | 7744049170       | 0 so'm                 | Tozalangan          
237   | 7748807152       | 0 so'm                 | Tozalangan          
238   | 7765536226       | 0 so'm                 | Tozalangan          
239   | 7786233681       | 0 so'm                 | Tozalangan          
240   | 7799100870       | 0 so'm                 | Tozalangan          
241   | 7809848182       | 0 so'm                 | Tozalangan          
242   | 7822386307       | 0 so'm                 | Tozalangan          
243   | 7826985198       | 0 so'm                 | Tozalangan          
